"source_nlcs_id","field_name","override_value","reason","evidence_url","review_status","last_verified"
"NLCS000280","trail_status","A congressionally designated network of historic routes, traces, sites, and retracement opportunities; not a single continuous maintained footpath.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/cali/","human_verified","2026-08-04"
"NLCS000280","route_representation","The designation includes a network of named routes, branches, cutoffs, surviving traces, roads, auto-tour approximations, and interpreted sites. Applegate, Lassen, Nobles, and Yreka are routes or branches of this national trail, not separate national designations.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/cali/planyourvisit/maps.htm","human_verified","2026-08-04"
"NLCS000280","indigenous_context","The NPS interpretive plan describes the overland-trail corridors as crossing American Indian homelands and documents resource loss, disease, violence, and loss of homeland, while also emphasizing Indigenous survival.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","human_verified","2026-08-05"
"NLCS000280","blm_role_summary","BLM has documented land-management responsibility for portions of the national trail, including four named California route segments. This is limited to BLM-administered lands and does not establish BLM responsibility for the entire BRIM feature.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.blm.gov/programs/national-conservation-lands/national-scenic-and-historic-trails/california","human_verified","2026-08-04"
"NLCS000281","trail_status","A congressionally designated historic route and network of sites, traces, roads, and retracement opportunities; not a continuous clearly marked footpath.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/poex/","human_verified","2026-08-04"
"NLCS000281","route_representation","Original and adjusted mail routes, surviving traces and stations, interpreted sites, public trail segments, and auto-tour roads that may only approximate the historic route.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/poex/planyourvisit/maps.htm","human_verified","2026-08-04"
"NLCS000281","indigenous_context","NPS interpretation of the Pyramid Lake War documents how mineral-seeker encroachment and Pony Express stations’ use of critical water sources affected Paiute lands and resources and contributed to conflict in 1860.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/articles/000/the-pyramid-lake-war.htm","human_verified","2026-08-05"
"NLCS000281","blm_role_summary","BLM identifies portions of the Pony Express National Historic Trail on BLM-managed lands in California, Colorado, Nevada, Utah, and Wyoming. This role is limited to those lands and does not make BLM the trail-wide administrator.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.blm.gov/programs/national-conservation-lands/pony-express","human_verified","2026-08-04"
"NLCS000282","trail_status","A multi-route historic-trail system with refined and approximate alignments, high-potential sites and segments, roads, and limited retracement opportunities; not a continuous recreational footpath.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/olsp/","human_verified","2026-08-04"
"NLCS000282","route_representation","Armijo Route, Northern Route, North Branch, Mojave Road and related route refinements, high-potential segments and sites, auto-tour roads, and interpretive locations. Alignment refinement and digitization remain ongoing.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/olsp/planyourvisit/maps.htm","human_verified","2026-08-04"
